ATOM,METHOD,BASIS,ENERGY(Hartree)
C,MP2,6-31G,-37.714796461069
C,CCSD,6-31G,-37.714805342265
C,CCSD(T),6-31G,-37.715140713972
C,MP2,6-31G*,-37.750368745988
C,CCSD,6-31G*,-37.750262286429
C,CCSD(T),6-31G*,-37.751204567476
C,MP2,6-31G**,-37.750368745988
C,CCSD,6-31G**,-37.750262286429
C,CCSD(T),6-31G**,-37.751204567476
C,MP2,6-31+G**,-37.754241937592
C,CCSD,6-31+G**,-37.754135198493
C,CCSD(T),6-31+G**,-37.755176932441
C,MP2,def2-SVP,-37.64522345693570
C,CCSD,def2-SVP,-37.714279981264
C,CCSD(T),def2-SVP,-37.715319176028
C,MP2,def2-TZVP,-37.69247992807567
C,CCSD,def2-TZVP,-37.778686177675
C,CCSD(T),def2-TZVP,-37.780711270236
C,MP2,cc-pVDZ,-37.68654210128061
C,CCSD,cc-pVDZ,-37.759506382332
C,CCSD(T),cc-pVDZ,-37.760464147107
C,MP2,cc-pVTZ,-37.69156418437375
C,CCSD,cc-pVTZ,-37.778363053233
C,CCSD(T),cc-pVTZ,-37.780389949315
C,MP2,3-21G,-37.517150218105
C,CCSD,3-21G,-37.517174900694
C,CCSD(T),3-21G,-37.517478375977
H,MP2,6-31G,-0.49823291072826
H,CCSD,6-31G,-0.49823291072826
H,CCSD(T),6-31G,-0.49823291072826
H,MP2,6-31G*,-0.49823291072826
H,CCSD,6-31G*,-0.49823291072826
H,CCSD(T),6-31G*,-0.49823291072826
H,MP2,6-31G**,-0.49823291072826
H,CCSD,6-31G**,-0.49823291072826
H,CCSD(T),6-31G**,-0.49823291072826
H,MP2,6-31+G**,-0.49823291072826
H,CCSD,6-31+G**,-0.49823291072826
H,CCSD(T),6-31+G**,-0.49823291072826
H,MP2,def2-SVP,-0.49927840571355
H,CCSD,def2-SVP,-0.49927840571355
H,CCSD(T),def2-SVP,-0.49927840571355
H,MP2,def2-TZVP,-0.49980983220828
H,CCSD,def2-TZVP,-0.49980983220828
H,CCSD(T),def2-TZVP,-0.49980983220828
H,MP2,cc-pVDZ,-0.49927840341878
H,CCSD,cc-pVDZ,-0.49927840341878
H,CCSD(T),cc-pVDZ,-0.49927840341878
H,MP2,cc-pVTZ,-0.49980981127965
H,CCSD,cc-pVTZ,-0.49980981127965
H,CCSD(T),cc-pVTZ,-0.49980981127965
H,MP2,3-21G,-0.49619860938013
H,CCSD,3-21G,-0.49619860938013
H,CCSD(T),3-21G,-0.49619860938013
O,MP2,6-31G,-74.838270826143
O,CCSD,6-31G,-74.838082865031
O,CCSD(T),6-31G,-74.838411528509
O,MP2,6-31G*,-74.894033652620
O,CCSD,6-31G*,-74.893399542955
O,CCSD(T),6-31G*,-74.894238430056
O,MP2,6-31G**,-74.894033652620
O,CCSD,6-31G**,-74.893399542955
O,CCSD(T),6-31G**,-74.894238430056
O,MP2,6-31+G**,-74.899687578391
O,CCSD,6-31+G**,-74.899532750140
O,CCSD(T),6-31+G**,-74.900631827677
O,MP2,def2-SVP,-74.72006225670843
O,CCSD,def2-SVP,-74.836511442184
O,CCSD(T),def2-SVP,-74.837360839799
O,MP2,def2-TZVP,-74.81562283583483
O,CCSD,def2-TZVP,-74.973369800832
O,CCSD(T),def2-TZVP,-74.976122915174
O,MP2,cc-pVDZ,-74.79215328727878
O,CCSD,cc-pVDZ,-74.908520312039
O,CCSD(T),cc-pVDZ,-74.909264076563
O,MP2,cc-pVTZ,-74.81175221309572
O,CCSD,cc-pVTZ,-74.970347863109
O,CCSD(T),cc-pVTZ,-74.973143838426
O,MP2,3-21G,-74.449691292063
O,CCSD,3-21G,-74.449481694951
O,CCSD(T),3-21G,-74.449502647816
N,MP2,6-31G,-54.418905261032
N,CCSD,6-31G,-54.418766247382
N,CCSD(T),6-31G,-54.418924160552
N,MP2,6-31G*,-54.488795936574
N,CCSD,6-31G*,-54.471466979743
N,CCSD(T),6-31G*,-54.472117922701
N,MP2,6-31G**,-54.488795936574
N,CCSD,6-31G**,-54.471466979743
N,CCSD(T),6-31G**,-54.472117922701
N,MP2,6-31+G**,-54.491156550174
N,CCSD,6-31+G**,-54.473852417286
N,CCSD(T),6-31+G**,-54.474642245900
N,MP2,def2-SVP,-54.33651576562286
N,CCSD,def2-SVP,-54.420820157823
N,CCSD(T),def2-SVP,-54.421537792654
N,MP2,def2-TZVP,-54.40274325984867
N,CCSD,def2-TZVP,-54.513696996259
N,CCSD(T),def2-TZVP,-54.515982126738
N,MP2,cc-pVDZ,-54.39110663531571
N,CCSD,cc-pVDZ,-54.477831527714
N,CCSD(T),cc-pVDZ,-54.478456146161
N,MP2,cc-pVTZ,-54.40068413032611
N,CCSD,cc-pVTZ,-54.512394609212
N,CCSD(T),cc-pVTZ,-54.514687522784
N,MP2,3-21G,-54.137026356053
N,CCSD,3-21G,-54.136912301765
N,CCSD(T),3-21G,-54.136933000174
F,MP2,6-31G,-99.446147166377
F,CCSD,6-31G,-99.445936875404
F,CCSD(T),6-31G,-99.446372743389
F,MP2,6-31G*,-99.495949137688
F,CCSD,6-31G*,-99.495733715621
F,CCSD(T),6-31G*,-99.496921109230
F,MP2,6-31G**,-99.495949137688
F,CCSD,6-31G**,-99.495733715621
F,CCSD(T),6-31G**,-99.496921109230
F,MP2,6-31+G**,-99.507350090756
F,CCSD,6-31+G**,-99.507060894238
F,CCSD(T),6-31+G**,-99.508664397669
F,MP2,def2-SVP,-99.28398607456914
F,CCSD,def2-SVP,-99.433491573365
F,CCSD(T),def2-SVP,-99.434409098898
F,MP2,def2-TZVP,-99.41179977271872
F,CCSD,def2-TZVP,-99.621506264451
F,CCSD(T),def2-TZVP,-99.624812875762
F,MP2,cc-pVDZ,-99.37523061532731
F,CCSD,cc-pVDZ,-99.526428910483
F,CCSD(T),cc-pVDZ,-99.527298632256
F,MP2,cc-pVTZ,-99.40551931477358
F,CCSD,cc-pVTZ,-99.616567886781
F,CCSD(T),cc-pVTZ,-99.620025653391
F,MP2,3-21G,-98.928296993201
F,CCSD,3-21G,-98.928197473426
F,CCSD(T),3-21G,-98.928213181806
